,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10,all: n_random_points=10 nb_inst_per_class=1,all: n_random_points=10 nb_inst_per_class=10,all: n_random_points=30 nb_inst_per_class=1,all: n_random_points=30 nb_inst_per_class=10
46,MiddlePhalanxOutlineCorrect,0.79,0.81,0.79,0.79,0.65,0.76,0.73,0.77,0.66,0.82,0.68,0.81,0.81,0.78,0.81,0.78
47,MiddlePhalanxTW,0.53,0.52,0.53,0.54,0.55,0.53,0.56,0.53,0.56,0.52,0.56,0.51,0.51,0.5,0.5,0.5
48,MoteStrain,0.86,0.88,0.8,0.89,0.75,0.86,0.76,0.88,0.8,0.85,0.71,0.85,0.83,0.9,0.84,0.91
49,PhalangesOutlinesCorrect,0.76,0.79,0.78,0.79,0.65,0.66,0.68,0.75,0.66,0.79,0.68,0.8,0.78,0.8,0.79,0.78
50,Plane,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.96,1.0,0.99,1.0,1.0,1.0,1.0,1.0
51,PowerCons,0.84,0.89,0.83,0.86,0.76,0.79,0.8,0.84,0.75,0.81,0.82,0.88,0.89,0.95,0.89,0.95
52,ProximalPhalanxOutlineAgeGroup,0.86,0.83,0.84,0.81,0.83,0.84,0.83,0.83,0.84,0.84,0.85,0.84,0.83,0.79,0.82,0.79
53,ProximalPhalanxOutlineCorrect,0.85,0.87,0.85,0.87,0.79,0.85,0.82,0.85,0.75,0.85,0.81,0.87,0.87,0.88,0.87,0.87
54,ProximalPhalanxTW,0.78,0.79,0.78,0.78,0.78,0.79,0.78,0.79,0.8,0.79,0.79,0.78,0.77,0.76,0.78,0.77
55,ShapeletSim,0.88,0.88,0.89,0.88,0.52,0.8,0.55,0.8,0.59,0.53,0.69,0.62,0.92,0.81,0.89,0.81
56,SmoothSubspace,0.75,0.9,0.71,0.87,0.77,0.85,0.81,0.88,0.71,0.82,0.73,0.85,0.8,0.94,0.82,0.94
57,SonyAIBORobotSurface1,0.74,0.8,0.8,0.8,0.71,0.73,0.67,0.75,0.74,0.74,0.71,0.73,0.75,0.75,0.76,0.77
58,SonyAIBORobotSurface2,0.82,0.89,0.85,0.9,0.8,0.86,0.83,0.87,0.78,0.83,0.79,0.84,0.84,0.85,0.83,0.85
59,Strawberry,0.96,0.97,0.95,0.96,0.89,0.96,0.94,0.95,0.89,0.95,0.93,0.94,0.95,0.96,0.95,0.97
60,SwedishLeaf,0.82,0.89,0.85,0.89,0.88,0.71,0.88,0.72,0.88,0.76,0.89,0.8,0.83,0.88,0.85,0.88
61,Symbols,0.94,0.94,0.94,0.94,0.8,0.88,0.84,0.87,0.87,0.95,0.85,0.94,0.96,0.96,0.96,0.96
