,NB,C45,SVML,SVMQ,Logistic,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE
Computers,0.59536,0.58608,0.53892,0.55052,0.5382,0.6254,0.60588,0.66648,0.51104,0.57524,0.70044,0.68808,0.69964,0.68808,0.61176,0.64356,0.71316,0.69412,0.69628,0.68684,0.7246,0.72228,0.65904,0.78464,0.65432,0.5,0.68824,0.66556,0.80232,0.76808,0.76544,0.726,0.65472,0.68804,0.7316,0.70696,0.76968,0.81944
CricketX,0.368205128,0.334871795,0.399692308,0.481025641,0.199230769,0.320128205,0.623,0.619769231,0.506025641,0.578846154,0.764564103,0.774410256,0.602974359,0.617025641,0.758282051,0.755358974,0.778435897,0.750897436,0.622307692,0.779128205,0.76125641,0.75974359,0.769205128,0.777102564,0.744205128,0.47884617,0.574512821,0.715512821,0.763564103,0.691384615,0.730589744,0.695974359,0.583512821,0.568666667,0.801128205,0.770410256,0.814025641,0.830358974
CricketY,0.373487179,0.345538462,0.425153846,0.447051282,0.211282051,0.291769231,0.623846154,0.598897436,0.499410256,0.545307692,0.738,0.748538462,0.544820513,0.572589744,0.734435897,0.757025641,0.759871795,0.73425641,0.580487179,0.749974359,0.741871795,0.742205128,0.756333333,0.762179487,0.725564103,0.50902569,0.612384615,0.660128205,0.74925641,0.687948718,0.728333333,0.706179487,0.551846154,0.534717949,0.79425641,0.724512821,0.814948718,0.836974359
CricketZ,0.378,0.33474359,0.399871795,0.479230769,0.195230769,0.311025641,0.626897436,0.625692308,0.500871795,0.588897436,0.771846154,0.779025641,0.582025641,0.609974359,0.759051282,0.766128205,0.77925641,0.748358974,0.611153846,0.784384615,0.773051282,0.770897436,0.785179487,0.797781233,0.754051282,0.46599998,0.585461538,0.718820513,0.775717949,0.706717949,0.737589744,0.713589744,0.593948718,0.561948718,0.803564103,0.775846154,0.826897436,0.84774359
DiatomSizeReduction,0.867320261,0.732875817,0.949052288,0.944509804,0.922320261,0.934117647,0.890947712,0.880653595,0.945980392,0.94254902,0.958104575,0.943954248,0.913431372,0.919803922,0.943006536,0.934477124,0.939444444,0.946470588,0.917222222,0.957745098,0.957843137,0.939444444,0.942189542,0.91120915,0.927189542,0.87287579,0.853529412,0.843267974,0.939379085,0.94130719,0.890261438,0.914509804,0.860588235,0.855196078,0.946013072,0.943660131,0.924771242,0.941895425
DistalPhalanxOutlineCorrect,0.750289855,0.741376812,0.701413043,0.801195652,0.716376812,0.795398551,0.811449275,0.812028986,0.795797101,0.743586957,0.76115942,0.755905797,0.759311594,0.759384058,0.75115942,0.75615942,0.755797101,0.74884058,0.753043478,0.753550725,0.757427536,0.752898551,0.796231884,0.829347826,0.821521739,0.78032608,0.714601449,0.737028986,0.814601449,0.809456522,0.815615942,0.767355072,0.779021739,0.791014493,0.76826087,0.753333333,0.804565217,0.824855072
DistalPhalanxOutlineAgeGroup,0.815971223,0.737338129,0.774892086,0.741294964,0.668561151,0.824172662,0.824676259,0.806834532,0.76294964,0.730647482,0.744676259,0.732733813,0.712589928,0.699496403,0.73705036,0.776402878,0.753741007,0.741942446,0.698345324,0.734460432,0.733309353,0.736690647,0.759568345,0.819352518,0.810071942,0.74496401,0.73323741,0.774316547,0.814100719,0.81294964,0.811654676,0.741510791,0.808633094,0.790791367,0.767985611,0.726618705,0.821151079,0.826330935
DistalPhalanxTW,0.644532374,0.631438849,0.690503597,0.646834532,0.535539568,0.668705036,0.695179856,0.692158273,0.652158273,0.627553957,0.604604317,0.621366906,0.612158273,0.621582734,0.639064748,0.641294964,0.618273381,0.629640288,0.601151079,0.619136691,0.604460432,0.619208633,0.658273381,0.690431655,0.65942446,0.62330944,0.608345324,0.630071942,0.673021583,0.685683453,0.690431655,0.618273381,0.678633094,0.686115108,0.654100719,0.623453237,0.69323741,0.698201439
Earthquakes,0.691582734,0.696978417,0.680863309,0.736402878,0.664172662,0.609496403,0.748057554,0.759208633,0.70294964,0.682158273,0.703093525,0.695683453,0.715251799,0.70028777,0.682877698,0.715827338,0.695107914,0.684748201,0.695035971,0.695035971,0.707913669,0.70266187,0.747482014,0.737266187,0.742230216,0.74661828,0.748057554,0.737625899,0.745899281,0.746690647,0.746546763,0.667841727,0.748201439,0.748057554,0.734964029,0.694100719,0.746834532,0.746978417
ECG200,0.7882,0.7714,0.8291,0.8413,0.7537,0.7812,0.8253,0.8515,0.8294,0.8792,0.7987,0.8716,0.8117,0.8545,0.8658,0.8585,0.8769,0.882,0.8469,0.8637,0.8168,0.8254,0.8185,0.8402,0.8714,0.8061,0.7857,0.8354,0.8905,0.8682,0.8468,0.8075,0.8057,0.8406,0.881,0.8696,0.8729,0.8819
ECG5000,0.880817778,0.903555556,0.937308889,0.931337778,0.893551111,0.853351111,0.94042,0.941588889,0.936333333,0.92744,0.92564,0.927055556,0.917884444,0.925684444,0.928017778,0.937048889,0.929815556,0.927444444,0.925437778,0.927486667,0.926146667,0.926826667,0.939626667,0.943446667,0.940175556,0.92205775,0.909815556,0.914482222,0.940493333,0.943888889,0.937753333,0.91726,0.914975556,0.932928889,0.938568889,0.926771111,0.946104444,0.947255556
ECGFiveDays,0.777944251,0.730371661,0.939872242,0.934982578,0.883275261,0.768536585,0.795737515,0.860127758,0.928617886,0.811219512,0.760348432,0.835191638,0.6670964,0.684982578,0.813228804,0.865505227,0.879384437,0.799860627,0.699326365,0.823809524,0.751428571,0.856399535,0.907119628,0.954970964,0.984738676,0.98560978,0.90815331,0.918188153,0.983344948,0.921567944,0.848815331,0.839535424,0.950778165,0.984785134,0.847154472,0.823054588,0.986178862,0.989547038
ElectricDevices,0.570337181,0.686472572,0.543758267,0.67102451,0.515387109,0.518436001,0.745230191,0.787618986,0.645943457,0.694854105,0.771483595,0.783329011,0.754573985,0.773139671,0.770153028,0.735257424,0.824838542,0.776272857,0.779575931,0.791194398,0.775536247,0.786551679,0.874323576,0.895358579,0.708962521,0.26249683,0.77287641,0.698354299,0.799534864,0.804183634,0.808491765,0.853165608,0.792083721,0.741037479,0.83068733,0.77581896,0.882836478,0.889698969
FaceAll,0.830532544,0.63635503,0.854710059,0.885940828,0.752461538,0.808171598,0.901686391,0.904988166,0.850869822,0.878201183,0.943236686,0.957508876,0.916940828,0.936260355,0.957775148,0.979810651,0.986242603,0.960017751,0.940940828,0.960142012,0.945343195,0.942822485,0.962656805,0.967579882,0.926171598,0.77229583,0.938934911,0.964514793,0.974177515,0.949295858,0.941769231,0.961514793,0.79812426,0.877,0.975745562,0.955840237,0.989952662,0.996313609
FaceFour,0.786477273,0.648295455,0.867613636,0.861477273,0.810340909,0.913409091,0.887272727,0.853295455,0.867045455,0.778409091,0.848977273,0.850795455,0.718636364,0.732159091,0.862045455,0.947272727,0.92,0.845454545,0.744659091,0.860113636,0.845795455,0.802613636,0.909204545,0.793977273,0.957386364,0.86875003,0.9475,0.943409091,0.995568182,0.890568182,0.861818182,0.888863636,0.655909091,0.597613636,0.879318182,0.8325,0.850340909,0.949545455
FacesUCR,0.768712195,0.506921951,0.749887805,0.769087805,0.68857561,0.592414634,0.782556098,0.784097561,0.74455122,0.764229268,0.898507317,0.918370732,0.844878049,0.872819512,0.928839024,0.955629268,0.969629268,0.923097561,0.876956098,0.922678049,0.897907317,0.895009756,0.889068293,0.909326829,0.939302439,0.7007463,0.888434146,0.922692683,0.9506,0.89677561,0.849312195,0.910039024,0.695990244,0.793429268,0.948336585,0.909214634,0.96662439,0.983595122
FiftyWords,0.566593407,0.404703297,0.634887459,0.671208791,0.402783883,0.259802198,0.663406593,0.675318681,0.647098901,0.659274725,0.680615385,0.769846154,0.69432967,0.762593407,0.738021978,0.792395604,0.816725275,0.799494505,0.764483516,0.764747253,0.747868132,0.749428571,0.748373626,0.712989011,0.694461538,0.51193408,0.55021978,0.440725275,0.702197802,0.728,0.744395604,0.776153846,0.425824176,0.428461538,0.820725275,0.774483516,0.801186813,0.806791209
Fish,0.671714286,0.578285714,0.846971429,0.862171429,0.717257143,0.643942857,0.783771429,0.8588,0.864742857,0.801885714,0.7632,0.8144,0.891314286,0.909771429,0.862285714,0.862685714,0.896857143,0.893942857,0.916457143,0.817428571,0.921142857,0.898742857,0.931142857,0.974165091,0.939771429,0.74194287,0.891257143,0.940457143,0.968742857,0.8072,0.912571429,0.911657143,0.606114286,0.8112,0.913371429,0.8128,0.962228571,0.976228571
FordA,0.497234848,0.530234848,0.496356061,0.779931818,0.509643939,0.515878788,0.776068182,0.837234848,0.745469697,0.682310606,0.576939394,0.684469697,0.69769697,0.731522727,0.671689394,0.71619697,0.724727273,0.644204545,0.728636364,0.677265152,0.703409091,0.749772727,0.88405303,0.965356061,0.894969697,0.7846364,0.794242424,0.823189394,0.919537879,0.815606061,0.831030303,0.869477273,0.935280303,0.935651515,0.750560606,0.680583333,0.954583333,0.959681818
FordB,0.523049383,0.55317284,0.497123457,0.748037037,0.519901235,0.501037037,0.749716049,0.808185185,0.72654321,0.648432099,0.647296296,0.661185185,0.712938272,0.716691358,0.688,0.743691358,0.73045679,0.63137037,0.72008642,0.66254321,0.721493827,0.72037037,0.843004115,0.91508642,0.890407407,0.78319754,0.76087963,0.742728395,0.911037037,0.790098765,0.750604938,0.852320988,0.913246914,0.911518519,0.756925926,0.713728395,0.928580247,0.927160494
GunPoint,0.721866667,0.826733333,0.835466667,0.9262,0.823133333,0.8464,0.921733333,0.9236,0.9252,0.890733333,0.876,0.947133333,0.9822,0.973266667,0.923133333,0.934666667,0.9484,0.9526,0.982866667,0.955933333,0.954533333,0.962733333,0.9636,0.998666667,0.9826,0.92959998,0.970333333,0.959066667,0.994066667,0.961733333,0.964533333,0.971866667,0.780533333,0.9004,0.9742,0.9512,0.991866667,0.996666667
Ham,0.723142857,0.696380952,0.823238095,0.83,0.701047619,0.753333333,0.819142857,0.822285714,0.840666667,0.758285714,0.691619048,0.748571429,0.656761905,0.690666667,0.741809524,0.736952381,0.745238095,0.727238095,0.703428571,0.746571429,0.674952381,0.726,0.794571429,0.808380952,0.832285714,0.67657144,0.768952381,0.80247619,0.836,0.794952381,0.710666667,0.684952381,0.644571429,0.716761905,0.763428571,0.715428571,0.805238095,0.840761905
