,NB,C45,SVML,SVMQ,Logistic,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE
Phoneme,0.149388186,0.067041139,0.092575138,0.094957806,0.078691983,0.112869198,0.153602321,0.127125527,0.090727848,0.103897679,0.22875,0.230374473,0.252811182,0.255337553,0.234831224,0.264578059,0.275342827,0.255374473,0.244841772,0.223312236,0.259836498,0.255363924,0.219694093,0.329055907,0.151582279,0.1727743,0.148011603,0.134182489,0.256186709,0.211304131,0.277869198,0.24492616,0.219483122,0.240669831,0.299166667,0.22060654,0.362030591,0.377183544
Plane,0.976190476,0.90447619,0.980190476,0.982285714,0.974190476,0.978571429,0.983333333,0.986285714,0.972285714,0.967238095,0.999619048,0.993714286,0.998857143,0.993904762,0.996,0.992761905,0.999333333,0.999904762,0.998857143,0.999619048,0.999619048,0.997619048,0.995809524,0.999619048,0.994761905,0.97000004,0.987142857,0.979904762,0.997904762,0.994095238,0.993238095,0.99952381,0.984095238,0.992571429,1,0.994761905,1,1
ProximalPhalanxOutlineCorrect,0.620756014,0.800068729,0.819278351,0.868316151,0.808659794,0.691546392,0.861237113,0.875395189,0.868281787,0.818247423,0.811924399,0.816219931,0.819003436,0.856701031,0.819106529,0.794879725,0.806426117,0.817319588,0.847457045,0.813676976,0.815360825,0.81395189,0.828556701,0.880927835,0.792817869,0.79728529,0.769072165,0.79862543,0.867388316,0.847388316,0.861237113,0.850549828,0.814501718,0.869587629,0.838934708,0.816769759,0.870859107,0.876254296
ProximalPhalanxOutlineAgeGroup,0.815219512,0.796146341,0.855463415,0.813658537,0.74804878,0.834341463,0.853414634,0.847170732,0.817804878,0.769609756,0.774585366,0.764536585,0.79004878,0.781365854,0.774878049,0.859756097,0.768878049,0.773951219,0.791121951,0.772536585,0.771317073,0.767414634,0.823658537,0.840878049,0.832146341,0.7971707,0.76995122,0.79595122,0.81897561,0.845609756,0.841512195,0.799707317,0.847170732,0.836195122,0.805268293,0.766195122,0.848390244,0.848487805
ProximalPhalanxTW,0.747804878,0.736146341,0.81502439,0.778195122,0.696439024,0.75395122,0.815512195,0.808,0.781609756,0.713414634,0.735414634,0.732048781,0.721658537,0.750439024,0.714585366,0.779560976,0.729073171,0.725902439,0.739853659,0.730585366,0.736682927,0.731658537,0.774243902,0.802780488,0.794097561,0.71634139,0.690243902,0.66702439,0.772829268,0.808439024,0.798243902,0.722195122,0.793219512,0.813170732,0.759121951,0.728634146,0.814682927,0.811560976
RefrigerationDevices,0.366773333,0.45592,0.355306667,0.36664,0.339013333,0.552426667,0.581333333,0.57008,0.365093333,0.425733333,0.57344,0.572693333,0.566986667,0.56568,0.690026667,0.670186667,0.70352,0.669546667,0.565866667,0.56952,0.602933333,0.595413333,0.656266667,0.7608,0.641866667,0.57376001,0.6488,0.629226667,0.784586667,0.61536,0.638426667,0.675466667,0.631226667,0.554906667,0.67592,0.586773333,0.74232,0.80096
ScreenType,0.435786667,0.403973333,0.414133333,0.412933333,0.36608,0.435706667,0.449306667,0.466426667,0.389466667,0.432426667,0.46928,0.464693333,0.546026667,0.554773333,0.4308,0.480053333,0.492986667,0.484186667,0.563333333,0.465493333,0.561544368,0.56056,0.499013333,0.676106667,0.444586667,0.3649865,0.436613333,0.523786667,0.585973333,0.572773333,0.537946667,0.505866667,0.516746667,0.52608,0.554293333,0.505706667,0.65128,0.710986667
ShapeletSim,0.494666667,0.494055556,0.493166667,0.492666667,0.493722222,0.488833333,0.488277778,0.487555556,0.491833333,0.504888889,0.652111111,0.651888889,0.561666667,0.661611111,0.763944444,0.882555556,0.849611111,0.679555556,0.682888889,0.681722222,0.632611111,0.664388889,0.887777778,0.933611111,0.933111111,1,0.832277778,0.808555556,1,0.509905156,0.912722222,0.874222222,0.887611111,0.747888889,0.827277778,0.754333333,0.963777778,0.991277778
ShapesAll,0.613,0.474783333,0.709576375,0.748983333,0.476481481,0.572166667,0.74735,0.75975,0.671066667,0.7539,0.763583333,0.80395,0.849416667,0.85575,0.809,0.859716667,0.874883333,0.8709,0.864866667,0.811366667,0.862116667,0.840216667,0.79585,0.854233333,0.7596,0.59843334,0.754866667,0.68715,0.9088,0.800083333,0.853466667,0.884533333,0.636133333,0.754716667,0.885933333,0.8181,0.910733333,0.925883333
SmallKitchenAppliances,0.571546667,0.613946667,0.501173333,0.48928,0.41168,0.617013333,0.634933333,0.71384,0.356373333,0.369653333,0.640186667,0.67448,0.636346667,0.67464,0.661306667,0.498,0.717493333,0.670213333,0.675813333,0.678506667,0.639653333,0.66864,0.752853333,0.80248,0.66296,0.333333,0.705973333,0.582426667,0.75024,0.812613333,0.673733333,0.723733333,0.69864,0.658106667,0.70328,0.679813333,0.78784,0.83712
SonyAIBORobotSurface1,0.887554077,0.724858569,0.846289517,0.84936772,0.88109817,0.816189684,0.746056572,0.813677205,0.85109817,0.785024958,0.800898502,0.804176373,0.768635607,0.74547421,0.813111481,0.751863561,0.76374376,0.715257903,0.771747088,0.811414309,0.805424293,0.800831947,0.883843594,0.887587354,0.906139767,0.91840275,0.764409318,0.754309484,0.897420965,0.844891847,0.839251248,0.841797005,0.900865225,0.883777038,0.794176373,0.914608985,0.899051581,0.886805324
SonyAIBORobotSurface2,0.811783841,0.758499475,0.85567681,0.860755509,0.818688353,0.817649528,0.844459601,0.845571878,0.859664218,0.854921301,0.846096537,0.855036726,0.862308499,0.851710388,0.851741868,0.830849948,0.877093389,0.853105981,0.861962225,0.853074502,0.862959077,0.865550892,0.858593914,0.924407135,0.899853095,0.84874089,0.845099685,0.827093389,0.887701994,0.856044071,0.825372508,0.851028332,0.906977964,0.91412382,0.870115425,0.893116474,0.959758657,0.945362015
StarlightCurves,0.795006071,0.908069451,0.921976688,0.936408451,0.888771248,0.77910272,0.952484216,0.969536183,0.861534726,0.853318358,0.914281204,0.908393638,0.965004857,0.964048082,0.862025255,0.859328558,0.882430792,0.882383439,0.964975716,0.912739194,0.965405537,0.963183584,0.959554395,0.977413793,0.887623847,0.9084252,0.942978388,0.841192326,0.977550996,0.968686255,0.977679699,0.96827829,0.961805488,0.953239437,0.941475231,0.915548924,0.979632103,0.981494594
Strawberry,0.795756757,0.940945946,0.956756757,0.972189189,0.95827027,0.857594595,0.966,0.974324324,0.965837838,0.956081081,0.955351351,0.955,0.959540541,0.958756757,0.955513513,0.866810811,0.957837838,0.957405405,0.958486486,0.954432432,0.955972973,0.955810811,0.969837838,0.968432432,0.924918919,0.91659465,0.964540541,0.969783784,0.970297297,0.962675676,0.968054054,0.963486486,0.883108108,0.952162162,0.958810811,0.955135135,0.963108108,0.969783784
SwedishLeaf,0.82288,0.634384,0.83424,0.861232,0.711696,0.818944,0.85768,0.884416,0.845936,0.77168,0.786416,0.84216,0.893696,0.905536,0.8668,0.888864,0.887312,0.88536,0.914848,0.858016,0.89608,0.895776,0.885472,0.938515897,0.898704,0.758464,0.783664,0.705584,0.917664,0.892016,0.90776,0.925632,0.8648,0.888032,0.915936,0.870176,0.966656,0.96864
Symbols,0.801949749,0.681778894,0.846321608,0.856653266,0.689135678,0.857859296,0.836170854,0.841809045,0.818371859,0.876361809,0.940763819,0.919507538,0.966080402,0.934924623,0.906130653,0.934241206,0.952140703,0.953477387,0.964462311,0.941688442,0.955567839,0.963105528,0.93001005,0.86159799,0.919246231,0.90803017,0.933286432,0.871085427,0.961165829,0.88758794,0.944301508,0.959809045,0.89601005,0.745718593,0.957417085,0.929648241,0.952653266,0.965788945
SyntheticControl,0.964366667,0.7787,0.944233333,0.9496,0.692333333,0.931233333,0.9593,0.966566667,0.922333333,0.902866667,0.991133333,0.9887,0.567433333,0.563,0.977733333,0.9694,0.981533333,0.9897,0.5662,0.989066667,0.990633333,0.992533333,0.985833333,0.9869,0.9946,0.91956668,0.925833333,0.869133333,0.967866667,0.990333333,0.986533333,0.971566667,0.657666667,0.606433333,0.993966667,0.9786,0.9992,0.9996
ToeSegmentation1,0.512807018,0.555570175,0.522763158,0.546052632,0.517587719,0.543157895,0.601052632,0.577982456,0.530175439,0.611973684,0.737631579,0.721973684,0.739342105,0.702280702,0.772280702,0.782675439,0.821315789,0.795921053,0.70877193,0.727894737,0.741754386,0.729035088,0.921973684,0.954035088,0.934342105,0.90407907,0.926184211,0.927894737,0.92877193,0.660964912,0.858245614,0.84122807,0.84504386,0.725701754,0.787587719,0.718026316,0.93372807,0.95504386
ToeSegmentation2,0.561769231,0.562076923,0.483153846,0.620307692,0.478461538,0.599538462,0.673384615,0.646,0.535,0.781,0.817692308,0.850923077,0.828846154,0.804076923,0.902153846,0.918153846,0.895153846,0.888461538,0.820538462,0.862153846,0.828,0.825846154,0.903769231,0.947153846,0.942615385,0.87276925,0.911692308,0.920846154,0.959692308,0.782384615,0.885769231,0.926384615,0.882,0.810769231,0.907,0.843923077,0.951461538,0.966384615
Trace,0.8534,0.7979,0.7844,0.8499,0.6699,0.8081,0.8328,0.9317,0.8307,0.7781,0.9997,0.9933,1,0.9951,0.9588,0.9809,0.956,0.974,1,0.9997,0.9997,0.9962,0.9974,0.9999,0.9962,0.9984,0.9769,0.9924,0.9999,0.998,0.9814,0.9665,0.9999,0.9539,0.996,0.9953,0.9999,1
TwoLeadECG,0.715583845,0.72856892,0.93,0.925847234,0.920316067,0.715592625,0.797067603,0.928217735,0.926040386,0.734863916,0.918305531,0.881316945,0.971000878,0.940316067,0.933696225,0.882677788,0.941273047,0.949947322,0.969692713,0.910061457,0.945627744,0.95808604,0.957506585,0.984442493,0.993608428,0.92041263,0.900535558,0.915531168,0.98453029,0.842159789,0.909648815,0.927945566,0.863151888,0.934907814,0.958489903,0.884705882,0.982528534,0.993494293
TwoPatterns,0.4693425,0.6322775,0.83485,0.8823575,0.76802,0.431485,0.8556775,0.927975,0.901525,0.9059475,1,0.999365,0.99769,0.99663,0.999685,0.998645,0.9986875,0.9992,0.99748,1,1,0.9995925,0.99952,0.9517175,0.9942025,0.696425,0.94442,0.8889625,0.9911625,0.9905425,0.974215,0.96687,0.4132425,0.4611425,0.99999,0.9991575,0.999795,0.9998775
UWaveGestureLibraryX,0.659648241,0.622049135,0.661250698,0.717303183,0.451733668,0.661194863,0.762118928,0.779209939,0.741968174,0.739704076,0.727585148,0.776954215,0.676046901,0.74032105,0.765335008,0.775220547,0.775424344,0.767372976,0.747632607,0.774740369,0.774290899,0.769123395,0.806264657,0.805946399,0.804140145,0.69449194,0.589363484,0.53340871,0.753213289,0.806418202,0.834371859,0.818699051,0.486264657,0.448894472,0.804701284,0.786507538,0.83054718,0.838369626
UWaveGestureLibraryY,0.551471245,0.56773311,0.622085427,0.638364042,0.394053601,0.583606924,0.704101061,0.716652708,0.669254606,0.664536572,0.623235623,0.695315466,0.58127024,0.659103853,0.676356784,0.689293691,0.689676159,0.680700726,0.665843104,0.687113345,0.709879955,0.693819095,0.716568956,0.736957007,0.718495254,0.59108881,0.511259073,0.438389168,0.661231156,0.727392518,0.745692351,0.752705193,0.477680067,0.444865997,0.73053043,0.71824679,0.765644891,0.775499721
UWaveGestureLibraryZ,0.569782245,0.573576214,0.611072027,0.659014517,0.385538805,0.581367951,0.710150754,0.728168621,0.678891681,0.660817979,0.656510329,0.687345059,0.588771636,0.672713568,0.685002792,0.693891681,0.701353992,0.687054718,0.680304299,0.684165271,0.695106086,0.689684534,0.736482412,0.746764377,0.737467895,0.63769407,0.56745952,0.480904523,0.695153546,0.740750977,0.775974316,0.76647962,0.486460078,0.472473479,0.726281407,0.712428811,0.759511446,0.77832775
UWaveGestureLibraryAll,0.879399777,0.782359017,0.890270798,0.932867113,0.704288107,0.891959799,0.941641541,0.946035734,0.931778336,0.943277499,0.895538805,0.959785036,0.845750977,0.923297041,0.952738694,0.960150754,0.95974316,0.943844221,0.930533222,0.960678392,0.933671133,0.931228364,0.962850363,0.942077052,0.679659408,0.7655528,0.813763261,0.800572306,0.944455611,0.961917923,0.943701843,0.967688442,0.531970966,0.65086823,0.968288666,0.904338358,0.964843663,0.969780877
Wafer,0.741437378,0.975653796,0.955371512,0.993111616,0.901179429,0.954162881,0.992847177,0.994915639,0.961254056,0.994878326,0.984046074,0.994961064,0.975238481,0.995123297,0.994664179,0.996130759,0.99550941,0.994042829,0.995694354,0.995637573,0.982916077,0.992293965,0.996150227,0.99983939,0.996280013,0.98118755,0.996572031,0.996411421,0.999020117,0.996501849,0.996134004,0.995121674,0.995520766,0.987741726,0.996868916,0.993792992,0.999445166,0.999656067
Wine,0.612777778,0.756481481,0.864814815,0.918148148,0.938518519,0.72537037,0.863518519,0.918518519,0.900555556,0.892962963,0.884259259,0.890740741,0.847592592,0.85,0.893888889,0.493703704,0.884444444,0.887962963,0.847407407,0.884629629,0.881481481,0.887392443,0.892037037,0.926111111,0.524074074,0.79444442,0.894444444,0.878148148,0.911666667,0.880555556,0.879259259,0.884259259,0.773703704,0.798703704,0.886666667,0.891296296,0.903518518,0.912037037
WordSynonyms,0.48161442,0.374043887,0.530109718,0.587351097,0.338981191,0.250141066,0.565579937,0.586112853,0.554341693,0.615172414,0.648761755,0.729968652,0.662115987,0.727962382,0.693808777,0.751332288,0.773103448,0.753291536,0.730485893,0.730752351,0.710125392,0.711661442,0.674216301,0.582382445,0.581159875,0.46141064,0.522836991,0.454623824,0.658761755,0.64346395,0.668981191,0.728134796,0.39369906,0.371003135,0.778401254,0.738338558,0.7480721,0.747962382
Worms,0.342727273,0.406883117,0.386753247,0.480779221,0.392467532,0.414025974,0.591948052,0.604675325,0.406103896,0.491038961,0.584025974,0.569480519,0.638181818,0.637922078,0.56038961,0.619870129,0.616103896,0.59,0.625454545,0.578571428,0.616883117,0.618961039,0.673376623,0.719480519,0.642467532,0.6224679,0.617272727,0.593246753,0.734935065,0.627922078,0.668441558,0.641558442,0.718831169,0.684155844,0.644415584,0.633376623,0.725064935,0.734025974
WormsTwoClass,0.545714286,0.60038961,0.544545455,0.592077922,0.569220779,0.561688312,0.628051948,0.656883117,0.598571429,0.624155844,0.681558441,0.66064935,0.708831169,0.71012987,0.67025974,0.715844156,0.712207792,0.662337662,0.689610389,0.677402597,0.709220779,0.702987013,0.73,0.778701299,0.735714286,0.70584445,0.744285714,0.721038961,0.80974026,0.685064935,0.754935065,0.742597403,0.77038961,0.759350649,0.717402597,0.735844156,0.785194805,0.783896104
Yoga,0.562523333,0.726993333,0.622966667,0.808596667,0.63441,0.629983333,0.835633333,0.85371,0.82729,0.840166667,0.848816667,0.85765,0.83143,0.835213333,0.864133333,0.865656667,0.888153333,0.88704,0.84082,0.857893333,0.8681,0.86608,0.863473333,0.82251,0.833126667,0.72128665,0.86186,0.835893333,0.90994,0.86701,0.834536667,0.873663333,0.783466667,0.719136667,0.885416667,0.857933333,0.8978,0.91702
