,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.8368,59.42406129837036,0.16875362396240234,0.44728517532348633,58.665343284606934,0.14038848876953125,SwedishLeaf,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,0.8832,13.96604037284851,0.15609097480773926,0.37604737281799316,3.10603404045105,10.325669050216675,SwedishLeaf,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
2,0.8736,15.702174425125122,0.1639573574066162,0.005407094955444336,2.5922632217407227,12.939748764038086,SwedishLeaf,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
3,0.8928,569.3466005325317,0.17167425155639648,3.2365903854370117,565.567836523056,0.35843729972839355,SwedishLeaf,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
4,0.6944,25.062474250793457,0.13849782943725586,3.1868374347686768,21.61155652999878,0.11637997627258301,SwedishLeaf,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
5,0.76,20.7497661113739,0.11705303192138672,0.03848838806152344,20.482250452041626,0.1028742790222168,SwedishLeaf,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
6,0.8448,169.5729329586029,0.10650515556335449,0.5119609832763672,168.78702187538147,0.16457509994506836,SwedishLeaf,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
7,0.888,24.10361385345459,0.1501026153564453,0.3807525634765625,7.139354467391968,16.42799735069275,SwedishLeaf,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
8,0.9088,27.3860764503479,0.1398758888244629,0.007017612457275391,5.941263198852539,21.29683542251587,SwedishLeaf,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
9,0.9008,1668.5051321983337,0.15248489379882812,4.1085309982299805,1663.3512363433838,0.8527514934539795,SwedishLeaf,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
10,0.744,69.55508875846863,0.13995146751403809,2.82576847076416,66.42435622215271,0.14571785926818848,SwedishLeaf,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
11,0.7728,62.03514838218689,0.13913273811340332,0.06199336051940918,61.70371985435486,0.12578105926513672,SwedishLeaf,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
