,accuracy,time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
35,0.5451895043731778,0.008978843688964844,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
36,0.8950437317784257,0.05787801742553711,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
37,0.5189504373177842,0.022925615310668945,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
38,0.9650145772594753,0.04198431968688965,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
39,0.4897959183673469,0.012967586517333984,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
40,0.9358600583090378,0.027925729751586914,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
41,0.34402332361516036,0.012964963912963867,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
42,0.9154518950437318,0.019948959350585938,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
43,0.6239067055393586,0.013963699340820312,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
44,0.9795918367346939,0.12911367416381836,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
45,0.4314868804664723,0.06682181358337402,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
46,0.9620991253644315,0.11286497116088867,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
47,0.4139941690962099,0.05684661865234375,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
48,0.8104956268221575,0.0189363956451416,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
49,0.5801749271137027,0.009974479675292969,Chinatown,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
50,0.9533527696793003,0.018948078155517578,Chinatown,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
51,0.6355685131195336,0.013070106506347656,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
52,0.9358600583090378,0.050989389419555664,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
53,0.5160349854227405,0.02991962432861328,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
54,0.9037900874635568,0.04582357406616211,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
55,0.5102040816326531,0.01795172691345215,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
56,0.9766763848396501,0.028150081634521484,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
57,0.4606413994169096,0.01795196533203125,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
58,0.9475218658892128,0.0249326229095459,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
59,0.6880466472303207,0.013962030410766602,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
60,0.9766763848396501,0.11489462852478027,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
61,0.42857142857142855,0.06493473052978516,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
62,0.9737609329446064,0.13073992729187012,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
63,0.4577259475218659,0.05186033248901367,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
64,0.8658892128279884,0.014960050582885742,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
