,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.5733333333333334,0.39096617698669434,0.006220102310180664,0.0048177242279052734,0.0345454216003418,0.3446497917175293,SmoothSubspace,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
1,0.5133333333333333,0.38229942321777344,0.005940437316894531,0.002071380615234375,0.035318851470947266,0.32779526710510254,SmoothSubspace,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
2,0.54,0.40790271759033203,0.014515161514282227,0.0041997432708740234,0.016132116317749023,0.3723478317260742,SmoothSubspace,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
3,0.4866666666666667,0.2721254825592041,0.007924318313598633,0.0026955604553222656,0.015043020248413086,0.24579620361328125,SmoothSubspace,Max ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max ACF
4,0.31333333333333335,0.1615762710571289,0.00771021842956543,0.003844738006591797,0.020389795303344727,0.12900280952453613,SmoothSubspace,Max PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,Max PACF
5,0.54,0.3427751064300537,0.006792306900024414,0.0008137226104736328,0.015883207321166992,0.31864404678344727,SmoothSubspace,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
6,0.8066666666666666,0.9010798931121826,0.0071468353271484375,0.035845041275024414,0.052759647369384766,0.8047175407409668,SmoothSubspace,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
7,0.8333333333333334,0.6360940933227539,0.004355430603027344,0.009786128997802734,0.03755903244018555,0.5773394107818604,SmoothSubspace,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
8,0.8,1.0471489429473877,0.0068111419677734375,0.020367145538330078,0.0668935775756836,0.9415576457977295,SmoothSubspace,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
9,0.78,1.0177607536315918,0.007498502731323242,0.016195297241210938,0.02577996253967285,0.9674067497253418,SmoothSubspace,Max ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max ACF
10,0.84,0.9468371868133545,0.007302999496459961,0.023290395736694336,0.03136253356933594,0.883974552154541,SmoothSubspace,Max PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,Max PACF
11,0.8,0.855787992477417,0.007769584655761719,0.005390644073486328,0.03203415870666504,0.8099377155303955,SmoothSubspace,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
12,0.9,0.8785018920898438,0.0042264461517333984,0.06101846694946289,0.1376173496246338,0.6749413013458252,SmoothSubspace,ACF&PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF&PACF
13,0.9133333333333333,1.211136817932129,0.008530139923095703,0.04532909393310547,0.0876469612121582,1.0685553550720215,SmoothSubspace,ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,ACF
14,0.9,1.0222928524017334,0.00745701789855957,0.07164812088012695,0.14388799667358398,0.7981555461883545,SmoothSubspace,PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,PACF
15,0.9,1.1836638450622559,0.004468441009521484,0.026987791061401367,0.08776330947875977,1.0638189315795898,SmoothSubspace,Max ACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max ACF
16,0.9,0.9904797077178955,0.007335186004638672,0.05733156204223633,0.08686661720275879,0.8307492733001709,SmoothSubspace,Max PACF: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,Max PACF
17,0.92,1.190293788909912,0.004661083221435547,0.006522655487060547,0.08718681335449219,1.0913808345794678,SmoothSubspace,None: n_random_points=1 nb_inst_per_class=30,1,30,Rsast,None
18,0.8866666666666667,0.43296003341674805,0.007133007049560547,0.1695849895477295,0.22562885284423828,0.029588699340820312,SmoothSubspace,ACF&PACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,ACF&PACF
19,0.8,0.25228285789489746,0.01320195198059082,0.07304191589355469,0.14479970932006836,0.020164966583251953,SmoothSubspace,ACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,ACF
20,0.9,0.4002223014831543,0.00733184814453125,0.11793684959411621,0.2491922378540039,0.024755239486694336,SmoothSubspace,PACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,PACF
21,0.8733333333333333,0.2631566524505615,0.005854606628417969,0.07337307929992676,0.16030168533325195,0.013365507125854492,SmoothSubspace,Max ACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,Max ACF
22,0.84,0.3115670680999756,0.007081270217895508,0.11253070831298828,0.17868375778198242,0.012457609176635742,SmoothSubspace,Max PACF: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,Max PACF
23,0.82,0.20029902458190918,0.006892204284667969,0.019802570343017578,0.15021514892578125,0.022708415985107422,SmoothSubspace,None: n_random_points=1 nb_inst_per_class=50,1,50,Rsast,None
24,0.8533333333333334,0.4414057731628418,0.00598597526550293,0.17166447639465332,0.24290227890014648,0.019583940505981445,SmoothSubspace,ACF&PACF: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,ACF&PACF
25,0.8333333333333334,0.26508522033691406,0.006170034408569336,0.07378196716308594,0.15620851516723633,0.01855325698852539,SmoothSubspace,ACF: n_random_points=1 nb_inst_per_class=100,1,100,Rsast,ACF
