,accuracy,time,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name
0,0.8692307692307693,5.06131649017334,ToeSegmentation2,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF
1,0.8769230769230769,15.817927360534668,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
2,0.8923076923076924,47.36009240150452,ToeSegmentation2,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All
3,0.9307692307692308,9.430854082107544,ToeSegmentation2,num_kernels=10_000,0,0,Rocket
4,0.8923076923076924,99.54391503334045,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
5,0.8615384615384616,4.4624199867248535,ToeSegmentation2,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF
6,0.9230769230769231,20.49516224861145,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
7,0.8538461538461538,50.32120752334595,ToeSegmentation2,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All
8,0.9153846153846154,2.8923966884613037,ToeSegmentation2,num_kernels=10_000,0,0,Rocket
9,0.8307692307692308,99.68999552726746,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
10,0.8923076923076924,4.07789158821106,ToeSegmentation2,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF
11,0.9153846153846154,13.821661710739136,ToeSegmentation2,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF
12,0.8769230769230769,45.55546951293945,ToeSegmentation2,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All
13,0.9153846153846154,2.746131420135498,ToeSegmentation2,num_kernels=10_000,0,0,Rocket
14,0.8769230769230769,102.90429520606995,ToeSegmentation2,min_shapelet_length=3 max_shapelet_length=342,0,0,SAST
