,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,number_series
0,0.9008746355685131,0.023663759231567383,0.04590463638305664,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,16
1,0.8950437317784257,0.09178900718688965,0.14397215843200684,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16
2,0.924198250728863,0.09034037590026855,0.13202667236328125,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,16
3,0.9067055393586005,0.13475751876831055,0.5706300735473633,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,16
4,0.9591836734693877,0.19611263275146484,1.2312335968017578,Chinatown,ROCKET RC: num_kernels=10_000,0,0,Rocket RC,16
5,0.8688046647230321,0.03826498985290527,0.17875337600708008,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,16
6,0.9504373177842566,0.05111098289489746,0.09497499465942383,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,32
7,0.9737609329446064,0.11127161979675293,0.1966867446899414,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32
8,0.9795918367346939,0.1202545166015625,0.3786773681640625,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,32
9,0.9737609329446064,0.17098546028137207,0.7101027965545654,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,32
10,0.9825072886297376,0.2657310962677002,1.252274513244629,Chinatown,ROCKET RC: num_kernels=10_000,0,0,Rocket RC,32
11,0.9737609329446064,0.08118057250976562,0.18521881103515625,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,32
12,0.9766763848396501,0.07871580123901367,0.09101748466491699,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,64
13,0.9737609329446064,0.13376355171203613,0.19542384147644043,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,64
14,0.9795918367346939,0.19122600555419922,0.4376842975616455,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,64
15,0.9825072886297376,0.23035311698913574,0.6818943023681641,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,64
16,0.9825072886297376,0.4248814582824707,1.181135892868042,Chinatown,ROCKET RC: num_kernels=10_000,0,0,Rocket RC,64
17,0.9795918367346939,0.06229352951049805,0.1779766082763672,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,64
18,0.924198250728863,0.10131216049194336,0.08785104751586914,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,128
19,0.9620991253644315,0.13353490829467773,0.20669317245483398,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,128
20,0.9795918367346939,0.29608702659606934,0.4347548484802246,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,128
21,0.9854227405247813,0.363370418548584,0.6366779804229736,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,128
22,0.9766763848396501,0.6851956844329834,1.3126745223999023,Chinatown,ROCKET RC: num_kernels=10_000,0,0,Rocket RC,128
23,0.9620991253644315,0.12562179565429688,0.18081045150756836,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,128
24,0.967930029154519,0.07538509368896484,0.09157299995422363,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,256
25,0.9854227405247813,0.1790921688079834,0.17950177192687988,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,256
26,0.9737609329446064,0.451385498046875,0.3731694221496582,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,256
27,0.9854227405247813,0.6429643630981445,0.6614916324615479,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,256
28,0.9766763848396501,1.2358932495117188,1.217005968093872,Chinatown,ROCKET RC: num_kernels=10_000,0,0,Rocket RC,256
29,0.9591836734693877,0.18693232536315918,0.16013002395629883,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,256
30,0.967930029154519,0.1572108268737793,0.10180091857910156,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,512
31,0.9795918367346939,0.3210620880126953,0.15958476066589355,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,512
32,0.9795918367346939,0.7505450248718262,0.3810875415802002,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,512
33,0.9825072886297376,1.1231393814086914,0.7073044776916504,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,512
34,0.9766763848396501,2.409137725830078,1.241117000579834,Chinatown,ROCKET RC: num_kernels=10_000,0,0,Rocket RC,512
35,0.9737609329446064,0.3053605556488037,0.15115904808044434,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,512
36,0.9591836734693877,0.18457555770874023,0.09478020668029785,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,1024
37,0.967930029154519,0.6818637847900391,0.18840909004211426,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,1024
38,0.9825072886297376,1.440272331237793,0.4627871513366699,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,1024
39,0.9854227405247813,2.2072341442108154,0.6347537040710449,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,1024
40,0.9766763848396501,4.930917024612427,1.2048444747924805,Chinatown,ROCKET RC: num_kernels=10_000,0,0,Rocket RC,1024
41,0.9416909620991254,0.4745047092437744,0.16977858543395996,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,1024
