,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,series_length,exp_length
0,0.575,0.015500307083129883,0.0014491081237792969,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,16,4
1,0.375,0.09958314895629883,0.06869173049926758,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16,4
2,0.45,0.16045498847961426,0.09465837478637695,HouseTwenty,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,16,4
3,0.275,0.10894608497619629,0.040728092193603516,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,16,4
4,0.425,0.30353689193725586,0.11632871627807617,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,16,4
5,0.675,0.01332545280456543,0.008688211441040039,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,16,4
6,0.7,0.027789592742919922,0.030389070510864258,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,32,5
7,0.525,0.1482996940612793,0.08565807342529297,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32,5
8,0.65,0.6775507926940918,0.5450997352600098,HouseTwenty,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,32,5
9,0.55,0.2640252113342285,0.16205239295959473,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,32,5
10,0.675,0.43785929679870605,0.1784350872039795,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,32,5
11,0.65,0.030398845672607422,0.006394863128662109,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,32,5
12,0.475,0.2976524829864502,0.2585561275482178,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,64,6
13,0.55,0.743797779083252,0.6249499320983887,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,64,6
14,0.475,3.1605846881866455,2.871321439743042,HouseTwenty,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,64,6
15,0.475,1.4173998832702637,1.1863114833831787,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,64,6
16,0.625,0.6927855014801025,0.31086134910583496,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,64,6
17,0.625,0.0993506908416748,0.04122781753540039,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,64,6
18,0.475,1.6802330017089844,1.566436767578125,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,128,7
