,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,number_series
0,0.9504373177842566,0.04013967514038086,0.05128288269042969,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,16
1,0.9475218658892128,0.1411113739013672,0.18150067329406738,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16
2,0.956268221574344,0.11855316162109375,0.1309664249420166,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,16
3,0.9416909620991254,0.3154428005218506,0.5523009300231934,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,16
4,0.9358600583090378,0.7192428112030029,1.4635341167449951,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,16
5,0.9271137026239067,0.03969454765319824,0.1541309356689453,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,16
6,0.9854227405247813,0.12754058837890625,0.006440162658691406,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,16
7,0.9475218658892128,0.026407480239868164,0.08091545104980469,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,32
8,0.9329446064139941,0.08698201179504395,0.41410279273986816,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32
9,0.9416909620991254,0.13122057914733887,0.6099209785461426,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,32
10,0.9591836734693877,0.3405780792236328,2.100243091583252,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,32
11,0.9766763848396501,0.9223909378051758,1.3166224956512451,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,32
12,0.9620991253644315,0.051561594009399414,0.330094575881958,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,32
13,0.9825072886297376,0.02872920036315918,0.011610746383666992,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,32
14,0.956268221574344,0.032247066497802734,0.05692124366760254,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,64
